semana,fecha,nombre_desafio,distancia_total,tipo,descripcion_detallada,calentamiento,serie_principal,enfriamiento,objetivo
1,2025-03-08,Resistencia Progresiva,1600,Resistencia,"Serie continua con incremento progresivo de intensidad","300m variado técnica","200m @ RPE 6 + 200m @ RPE 7 + 400m @ RPE 7 + 400m @ RPE 8 (Descanso: 30s entre series)","200m suave estilos","Progresión de intensidad, desarrollo mental"
2,2025-03-15,Escalera de Velocidad,1700,Velocidad,"Serie en escalera ascendente y descendente con descansos cortos","300m técnica variada","50m + 100m + 150m + 200m + 150m + 100m + 50m @ RPE 8 (Descanso: 45s entre series)","200m suave técnica","Control de ritmo, velocidad progresiva"
3,2025-03-22,Prueba Contrarreloj 400m,1800,Prueba,"Evaluación de progreso con dos intentos máximos de 400m","400m técnica variada","2 x 400m Contrarreloj @ máximo esfuerzo (Descanso: 5 min) + 4 x 100m técnica recuperación","200m muy suave","Evaluación de progreso, simulación competencia"
4,2025-03-29,Serie Piramidal Invertida,1900,Mixto,"Pirámide descendente con aumento de intensidad","400m variado técnica","400m @ RPE 7 (desc 60s) + 300m @ RPE 7 (desc 45s) + 200m @ RPE 8 (desc 30s) + 100m @ RPE 9 (desc 20s) + 100m @ RPE 9 (desc 20s) + 200m @ RPE 8","200m técnica suave","Gestión de energía, control de ritmo descendente"
5,2025-04-05,Desafío 2000m Continuo,2000,Resistencia,"2000 metros continuos sin paradas, solo tocar pared","400m técnica progresiva","2000m Crol continuo @ RPE 7 - Objetivo: mantener ritmo constante, sin paradas","200m muy suave estilos","Resistencia mental, gestión de ritmo largo"
6,2025-04-12,Relevos Simulados,2100,Velocidad,"Simulación de relevos con diferentes distancias y intensidades","500m técnica variada","8 x 50m @ 1:00 Sprint (RPE 9) + 4 x 100m @ 1:45 Transición (RPE 8) + 2 x 200m @ 3:30 Resistencia (RPE 7)","300m suave recuperación","Simulación de competencia, velocidad máxima"
7,2025-04-19,Series de Recuperación Activa,2100,Recuperación,"Series largas con intensidad baja post-competencia","400m técnica variada","600m + 400m + 400m + 300m @ RPE 6 (Descanso mínimo: 20s entre series)","200m técnica","Mantener volumen con baja intensidad"
8,2025-04-26,Desafío Broken 1000m,2200,Velocidad,"10 x 100m con objetivo de tiempo total menor a 1000m continuo","500m técnica progresiva","10 x 100m @ 1:30 (RPE 8-9) - Objetivo: sumar tiempo menor a tu 1000m continuo (Descanso fijo: 10s entre series)","300m muy suave","Simulación ritmo de carrera, gestión mental"
9,2025-05-03,Simulacro de Competencia Múltiple,2300,Competencia,"Simulación de formato de competencia con múltiples pruebas","500m calentamiento completo","200m Crol @ RPE 9 (desc 10 min) + 100m Estilo elegido @ RPE 9 (desc 15 min) + 50m Sprint máximo @ RPE 10","300m enfriamiento activo","Simular formato de competencia con múltiples pruebas"
10,2025-05-10,Competencia Regional Metropolitana,2300,Competencia,"Participación en Regional Metropolitana Master - Clasificación para Nacional","Calentamiento específico según pruebas","COMPETENCIA OFICIAL: Regional Metropolitana Master - Participación en pruebas clasificadas","Enfriamiento según necesidad","Clasificación para Nacional, aplicar estrategias"
