semana,fecha,dia,mesociclo,distancia_total,tipo,descripcion_corta,calentamiento,serie_principal,enfriamiento,objetivo_tecnico
1,2025-03-02,Lunes,Base,1500,Regular,Inicio de temporada - Técnica y resistencia,"300m: 200 Crol suave + 100 Estilos variado","10 x 100m @ 1:50 Crol (RPE 6-7)
Descanso: 20 segundos entre repeticiones","200m: Estilos suaves con énfasis en técnica","Desarrollar base aeróbica, establecer ritmo de entrenamiento"
1,2025-03-04,Miércoles,Base,1500,Regular,Construcción aeróbica,"400m: 200 Crol + 100 Pecho + 100 Espalda","4 x 200m @ 3:40 Crol (RPE 6)
4 x 100m @ 1:50 Estilos (RPE 6)","200m: Técnica de respiración","Mejorar eficiencia en crol, introducir variedad"
1,2025-03-06,Viernes,Base,1500,Regular,Resistencia continua,"300m: Técnica variada con pull buoy","800m Crol continuo @ RPE 6
4 x 100m @ 1:45 Pecho/Espalda alternado","200m: Suave recuperación","Construir resistencia aeróbica sostenida"
1,2025-03-08,Sábado,1600,Desafío,Resistencia Progresiva,"300m variado técnica","Serie continua:
200m @ RPE 6
+ 200m @ RPE 7
+ 400m @ RPE 7
+ 400m @ RPE 8
Descanso: 30 seg entre series","200m suave estilos","Progresión de intensidad, desarrollo mental"
2,2025-03-09,Lunes,Base,1600,Regular,Técnica y velocidad,"400m: Ejercicios técnicos de crol","8 x 100m @ 1:45 Crol con técnica perfecta
4 x 50m @ 1:00 Sprint (RPE 8)","200m: Recuperación activa","Refinamiento técnico, introducción de velocidad"
2,2025-03-11,Miércoles,Base,1600,Regular,Trabajo de estilos,"300m: Crol técnico","400m Combinado individual
8 x 100m @ 1:50 (2x cada estilo)
200m Crol descenso","200m: Técnica suave","Desarrollo equilibrado de todos los estilos"
2,2025-03-13,Viernes,Base,1600,Regular,Resistencia con variaciones,"400m: 200 técnica + 200 progresivo","12 x 100m @ 1:45 (3 Crol + 1 Estilo)
Mantener ritmo constante","200m: Recuperación activa","Mantener calidad técnica bajo fatiga"
2,2025-03-15,Sábado,1700,Desafío,Escalera de Velocidad,"300m técnica variada","Serie escalera:
50m @ RPE 8
+ 100m @ RPE 8
+ 150m @ RPE 8
+ 200m @ RPE 8
+ 150m @ RPE 8
+ 100m @ RPE 8
+ 50m @ RPE 9
Descanso: 45 seg entre series","200m suave técnica","Control de ritmo, velocidad progresiva"
3,2025-03-16,Lunes,Base,1700,Regular,Intervalos aeróbicos,"400m: Variado técnico con aletas","10 x 150m @ 2:30 Crol (RPE 7)
Enfoque en brazada larga","200m: Técnica de piernas","Aumentar capacidad aeróbica, eficiencia"
3,2025-03-18,Miércoles,Base,1700,Regular,Trabajo de resistencia,"400m: Progresivo por 100m","2 x 600m @ 10:00 Crol (RPE 6-7)
Mantener técnica constante","300m: Estilos variados suaves","Construcción de resistencia de media distancia"
3,2025-03-20,Viernes,Base,1700,Regular,Velocidad controlada,"400m: Ejercicios técnicos variados","16 x 75m @ 1:20 (RPE 7-8)
25m rápido + 50m moderado","200m: Recuperación técnica","Desarrollo de cambios de ritmo"
3,2025-03-22,Sábado,1800,Desafío,Prueba Contrarreloj 400m,"400m técnica variada","2 x 400m Contrarreloj (máximo esfuerzo)
Descanso: 5 minutos entre intentos
4 x 100m técnica recuperación","200m muy suave","Evaluación de progreso, simulación competencia"
4,2025-03-23,Lunes,Desarrollo,1800,Regular,Transición a desarrollo - Intensidad,"400m: Técnica progresiva","5 x 200m @ 3:20 Crol (RPE 7)
5 x 100m @ 1:40 Sprint (RPE 8)","200m: Recuperación activa","Introducir mayor intensidad de trabajo"
4,2025-03-25,Miércoles,Desarrollo,1800,Regular,Series de calidad,"500m: Variado técnico con pull buoy","8 x 150m @ 2:20 Crol (RPE 7-8)
Enfoque en potencia de brazada","200m: Técnica suave","Mejorar potencia y velocidad sostenida"
4,2025-03-27,Viernes,Desarrollo,1800,Regular,Trabajo mixto,"400m: Ejercicios técnicos","400m Crol @ RPE 7
8 x 100m @ 1:35 alternado (Crol/Otro)
200m descenso","200m: Recuperación","Mantener velocidad en diferentes estilos"
4,2025-03-29,Sábado,1900,Desafío,Serie Piramidal Invertida,"400m variado técnica","Serie piramidal:
400m @ RPE 7 (desc 60s)
+ 300m @ RPE 7 (desc 45s)
+ 200m @ RPE 8 (desc 30s)
+ 100m @ RPE 9 (desc 20s)
+ 100m @ RPE 9 (desc 20s)
+ 200m @ RPE 8","200m técnica suave","Gestión de energía, control de ritmo descendente"
5,2025-03-30,Lunes,Desarrollo,1900,Regular,Intensidad aeróbica alta,"500m: Técnica variada con aletas","12 x 100m @ 1:35 Crol (RPE 7-8)
Mantener velocidad constante","300m: Recuperación estilos","Elevar umbral aeróbico"
5,2025-04-01,Miércoles,Desarrollo,1900,Regular,Trabajo de umbral,"400m: Progresivo técnico","3 x 400m @ 6:30 Crol (RPE 7)
Descanso: 45 segundos","300m: Técnica de respiración","Trabajar en zona de umbral anaeróbico"
